Nom de la gare;UIC;Code postal;Segmentation marketing;Segmentation décret;Agence;Voyageurs 2014
Bruyères sur Oise;276451;95820;5,1;c;Ile-de-France;81 000
Cergy le Haut;382655;95800;3,1;b;Ile-de-France;6 193 800
Cergy Préfecture;381905;95800;3,1;b;Ile-de-France;11 070 000
Cergy Saint-Christophe;382499;95800;3,1;b;Ile-de-France;5 416 200
Cernay (Val d'Oise);276063;95120;3,1;b;Ile-de-France;2 716 200
Champ de Courses d'Enghien;276030;95230;4,1;b;Ile-de-France;2 165 400
Champagne sur Oise;276519;95660;4,1;b;Ile-de-France;237 600
Chaponval;276162;95430;5,1;c;Ile-de-France;48 600
Chars;381194;95750;4,1;b;Ile-de-France;189 000
Cormeilles en Parisis;381863;95240;3,1;b;Ile-de-France;2 952 957
Deuil-Montmagny;276345;95170;4,1;b;Ile-de-France;3 321 000
Domont;276436;95330;4,1;b;Ile-de-France;2 727 000
Ecouen-Ezanville;276394;95440;4,1;b;Ile-de-France;1 690 200
Enghien les Bains;276022;95880;3,1;b;Ile-de-France;6 727 559
Epluches;276147;95310;5,1;c;Ile-de-France;64 800
Eragny-Neuville;381418;95610;4,1;b;Ile-de-France;663 894
Ermont-Eaubonne;276055;95120;3,1;b;Ile-de-France;18 586 800
Ermont Halte;276584;95120;4,1;b;Ile-de-France;837 000
Franconville-Le Plessis Bouchard;276071;95130;3,1;b;Ile-de-France;4 787 933
Frépillon;276659;95740;5,1;b;Ile-de-France;264 600
La Frette Montigny ;381871;95530;4,1;b;Ile-de-France;869 400
Garges-Sarcelles;276196;95140;3,1;b;Ile-de-France;13 412 986
Goussainville;276246;95190;3,1;b;Ile-de-France;3 391 200
Groslay;276360;95410;4,1;b;Ile-de-France;1 376 124
Gros Noyer-Saint-Prix;276592;95120;4,1;b;Ile-de-France;1 490 400
Herblay;381889;95220;4,1;b;Ile-de-France;2 752 479
L' Isle Adam-Parmain ;276527;95290;4,1;b;Ile-de-France;729 000
Louvres;276253;95380;4,1;b;Ile-de-France;2 084 400
Luzarches;276576;95270;4,1;b;Ile-de-France;216 000
Mériel;276675;95630;4,1;b;Ile-de-France;297 000
Méry sur Oise;276667;95540;4,1;b;Ile-de-France;594 000
Montgeroult-Courcelles;381160;95650;5,1;c;Ile-de-France;27 000
Montigny-Beauchamp;276089;95250;3,1;b;Ile-de-France;4 464 512
Montsoult-Maffliers;276493;95560;4,1;b;Ile-de-France;1 501 911
Neuville Université;334482;95000;4,1;b;Ile-de-France;2 451 600
Nointel-Mours;276758;95590;4,1;b;Ile-de-France;394 200
Les Noues ;276238;95190;4,1;b;Ile-de-France;1 657 800
Osny;381145;95520;4,1;b;Ile-de-France;459 000
Persan-Beaumont;276469;95340;4,1;b;Ile-de-France;3 728 723
Pierrelaye;276097;95480;4,1;b;Ile-de-France;1 053 000
Pontoise;276139;95300;3,1;b;Ile-de-France;5 805 000
Pont Petit;276154;95310;5,1;b;Ile-de-France;232 200
Presles-Courcelles;276501;95590;4,1;b;Ile-de-France;275 400
Saint-Gratien;276170;95210;3,1;b;Ile-de-France;2 856 600
Saint-Leu-la-Forêt;276600;95320;4,1;b;Ile-de-France;2 019 600
Saint-Ouen l'Aumône;276105;95310;4,1;b;Ile-de-France;1 452 600
Saint-Ouen l'Aumône Eglise;381426;95310;4,1;b;Ile-de-France;437 400
Saint-Ouen l'Aumône Liesse;337980;95310;4,1;b;Ile-de-France;1 274 400
Sannois;276188;95110;4,1;b;Ile-de-France;2 718 000
Santeuil le Perchay;381186;95640;5,1;c;Ile-de-France;37 800
Sarcelles-Saint-Brice;276386;95200;3,1;b;Ile-de-France;5 249 654
Seugy;272039;95270;5,1;c;Ile-de-France;48 600
Survilliers-Fosses;276261;95470;4,1;b;Ile-de-France;2 046 599
Taverny;276634;95150;4,1;b;Ile-de-France;1 338 686
Us;381178;95450;4,1;b;Ile-de-France;102 600
Val d'Argenteuil;381798;95100;3,1;b;Ile-de-France;4 576 020
Valmondois;276535;95760;4,1;b;Ile-de-France;853 200
Vaucelles;276626;95150;4,1;b;Ile-de-France;556 200
Viarmes;276568;95270;4,1;b;Ile-de-France;259 200
Villaines;272021;95570;5,1;c;Ile-de-France;54 000
Villiers le Bel Gonesse Arnouville;276220;95400;3,1;b;Ile-de-France;9 347 400
Achères-Grand-Cormier;386052;78100;5,1;b;Ile-de-France;221 400
Achères;381657;78260;3,1;b;Ile-de-France;3 142 800
Andrésy;381491;78570;4,1;b;Ile-de-France;464 400
Aubergenville-Elisabethville;386730;78410;4,1;b;Ile-de-France;1 279 060
Beynes;393363;78650;4,1;b;Ile-de-France;140 400
Bonnières;415893;78270;4,1;b;Ile-de-France;968 239
Bougival;382440;78170;4,1;b;Ile-de-France;745 200
Bréval;381624;78980;4,1;b;Ile-de-France;573 823
La Celle Saint-Cloud ;382432;78170;4,1;b;Ile-de-France;1 890 000
Chanteloup les Vignes;381475;78570;4,1;b;Ile-de-France;788 025
Chaville-Vélizy;393173;78140;4,1;b;Ile-de-France;2 203 200
Les Clairières de Verneuil;386664;78480;4,1;b;Ile-de-France;394 200
Coignières;393272;78310;4,1;b;Ile-de-France;518 400
Conflans fin d'Oise;381459;78700;3,1;b;Ile-de-France;5 194 800
Conflans Sainte-Honorine;381897;78700;3,1;b;Ile-de-France;3 823 200
Epône-Mézières;386763;78680;4,1;b;Ile-de-France;1 631 889
Les Essarts le Roi ;393280;78690;4,1;b;Ile-de-France;912 600
L' Etang la Ville;382473;78620;4,1;b;Ile-de-France;448 200
Fontenay le Fleury;393405;78330;4,1;b;Ile-de-France;1 360 800
Garancières la Queue;393439;78890;4,1;b;Ile-de-France;302 337
Gargenville;381566;78440;4,1;b;Ile-de-France;297 000
Gazeran;393348;78125;4,1;b;Ile-de-France;259 199
Houdan;393462;78550;4,1;b;Ile-de-France;1 004 400
Houilles-Carrières sur Seine;386409;78800;3,1;b;Ile-de-France;12 490 200
Issou-Porcheville;381574;78440;4,1;b;Ile-de-France;183 369
Jouy en Josas;393512;78350;4,1;b;Ile-de-France;777 600
Juziers;381558;78820;4,1;b;Ile-de-France;232 200
Limay;381582;78520;4,1;b;Ile-de-France;432 000
Louveciennes;382457;78430;4,1;b;Ile-de-France;878 466
Maisons Laffitte;386425;78600;3,1;b;Ile-de-France;6 674 211
Mantes la Jolie;381509;78200;3,1;b;Ile-de-France;7 466 638
Mantes Station;381590;78200;4,1;b;Ile-de-France;831 600
Mareil Marly;382812;78750;5,1;c;Ile-de-France;91 800
Mareil sur Mauldre;381715;78124;5,1;c;Ile-de-France;59 400
Marly le Roi;382465;78160;4,1;b;Ile-de-France;2 127 600
Maule;381723;78580;4,1;b;Ile-de-France;264 600
Maurecourt;381483;78570;4,1;b;Ile-de-France;556 200
Meulan-Hardricourt;381830;78250;4,1;b;Ile-de-France;459 000
Montfort l'Amaury Méré;393892;78490;4,1;b;Ile-de-France;602 717
Montreuil;382879;78000;4,1;b;Ile-de-France;2 207 322
Les Mureaux ;386680;78130;3,1;b;Ile-de-France;3 316 085
Nézel-Aulnay;381731;78410;5,1;c;Ile-de-France;70 200
Noisy le Roi;393876;78590;4,1;b;Ile-de-France;259 200
Orgerus Béhoust;393447;78910;4,1;b;Ile-de-France;205 200
Le Perray ;393298;78610;4,1;b;Ile-de-France;745 200
Petit Jouy les Loges;393504;78350;4,1;b;Ile-de-France;178 200
Plaisir-Grignon;393421;78370;4,1;b;Ile-de-France;2 943 000
Plaisir les Clayes;393629;78370;4,1;b;Ile-de-France;1 117 800
Poissy;386573;78300;3,1;b;Ile-de-France;9 958 317
Porchefontaine;393165;78000;4,1;b;Ile-de-France;885 600
Port Villez;415679;78270;5,1;;Ile-de-France;0
Rambouillet;393314;78120;4,1;b;Ile-de-France;6 275 096
Rosny sur Seine;415885;78710;4,1;b;Ile-de-France;275 400
Saint-Cyr;393223;78210;3,1;b;Ile-de-France;5 016 600
Saint-Germain Bel Air Fourqueux;366922;78100;4,1;b;Ile-de-France;270 000
Saint-Germain Grande Ceinture;382804;78100;4,1;b;Ile-de-France;97 200
Saint-Nom la Bretèche Forêt de Marly;382481;78620;4,1;b;Ile-de-France;1 344 600
Saint-Quentin en Yvelines;393843;78180;3,1;b;Ile-de-France;14 924 566
Sartrouville;386417;78500;3,1;b;Ile-de-France;10 908 000
Tacoignières-Richebourg;393454;78910;4,1;b;Ile-de-France;172 750
Thun le Paradis;381822;78250;4,1;b;Ile-de-France;318 600
Trappes;393835;78190;3,1;b;Ile-de-France;4 200 911
Triel sur Seine;381806;78510;4,1;b;Ile-de-France;534 600
Vauboyen;393538;91570;4,1;b;Ile-de-France;189 000
Vaux sur Seine;381814;78740;4,1;b;Ile-de-France;302 400
Vernouillet Verneuil;386656;78480;4,1;b;Ile-de-France;2 433 145
La Verrière ;393256;78320;3,1;b;Ile-de-France;5 761 800
Versailles Rive Droite;382861;78000;3,1;b;Ile-de-France;4 882 667
"Versailles Rive Gauche
 - Château de Versailles";393157;78000;3,1;b;Ile-de-France;7 887 587
Villennes sur Seine;386649;78670;4,1;b;Ile-de-France;761 031
Villepreux les Clayes;393413;78340;4,1;b;Ile-de-France;2 024 786
Villiers Neauphles Pontchartrain;393884;78640;4,1;b;Ile-de-France;712 800
Viroflay Rive Droite;382887;78220;4,1;b;Ile-de-France;1 446 062
Viroflay Rive Gauche;393215;78220;3,1;b;Ile-de-France;3 515 400
Audrieu;444059;14250;5;c;Manche-Nord;15 557
Bayeux;444067;14400;3;b;Manche-Nord;545 808
Blonville sur Mer Bénerville;444380;14910;5;c;Manche-Nord;2 471
Bretteville Norrey;444042;14740;5;c;Manche-Nord;19 053
Couliboeuf;444232;14620;5;c;Manche-Nord;888
Dives-Cabourg;444414;14390;4;c;Manche-Nord;24 869
Dives sur Mer Port Guillaume;337378;14160;5;c;Manche-Nord;3 066
Frénouville-Cagny;444182;14630;5;c;Manche-Nord;7 829
Houlgate;444406;14510;5;c;Manche-Nord;14 815
Le Grand-Jardin;444323;14190;5;c;Manche-Nord;22 793
Le Molay Littry;444083;14330;5;c;Manche-Nord;26 699
Lison;447219;14330;4;b;Manche-Nord;185 468
Mézidon;444208;14270;4;b;Manche-Nord;314 421
Moult-Argences;444190;14370;5;c;Manche-Nord;46 871
Pont l'Évèque;444349;14130;4;c;Manche-Nord;108 915
Saint-Pierre sur Dives;444216;14170;5;c;Manche-Nord;39 592
Saint-Sever;447714;14380;5;c;Manche-Nord;0
Villers sur Mer;444398;14640;5;c;Manche-Nord;6 412
Vire;448159;14500;4;c;Manche-Nord;79 903
Avranches;448514;50300;4;c;Manche-Nord;18 857
Carantilly Marigny;447144;50570;5;c;Manche-Nord;903
Carentan;447243;50500;4;b;Manche-Nord;199 014
Coutances;447110;50200;4;b;Manche-Nord;143 933
Folligny;447649;50320;5;c;Manche-Nord;6 540
Pont Hébert;447185;50880;5;c;Manche-Nord;16
Pontorson-Mont Saint-Michel;478263;50170;4;c;Manche-Nord;15 352
Saint-Lô;447003;50000;4;b;Manche-Nord;213 862
Valognes;447284;50700;4;b;Manche-Nord;240 874
Villedieu les Poêles;447698;50800;4;c;Manche-Nord;78 125
Alençon;444711;61000;3;b;Manche-Nord;434 722
Argentan;444539;61200;4;b;Manche-Nord;314 465
Bretoncelles;394270;61110;5;c;Manche-Nord;21 473
Briouze;448084;61220;4;c;Manche-Nord;33 153
Condé sur Huisne;394288;61110;4;c;Manche-Nord;18 692
Ecouché ;444547;61150;5;c;Manche-Nord;824
Flers;448001;61100;4;b;Manche-Nord;134 450
L'Aigle;444638;61300;4;b;Manche-Nord;152 353
Le Merlerault;444588;61240;5;c;Manche-Nord;798
Le Theil la Rouge;396333;61260;5;c;Manche-Nord;16 805
Nonant le Pin;444570;61240;5;c;Manche-Nord;0
Rai-Aube;444620;61270;5;c;Manche-Nord;0
Sées;444695;61500;4;c;Manche-Nord;94 756
Sainte-Gauburge;444604;61370;5;c;Manche-Nord;4 095
Surdon;444562;61570;4;c;Manche-Nord;47 161
Beaumont le Roger;387183;27170;5;c;Manche-Nord;11 609
Bernay;444299;27300;3;b;Manche-Nord;472 015
Bourgtheroulde Thuit Hébert;415323;27520;5;c;Manche-Nord;3 761
Bourth;393603;27580;5;c;Manche-Nord;17
Brionne;415364;27800;5;c;Manche-Nord;9 250
Bueil;387092;27730;4;b;Manche-Nord;130 061
Conches;387159;27190;4;b;Manche-Nord;101 336
Gaillon-Aubevoye;415620;27600;4;b;Manche-Nord;466 232
Glos-Montfort;415349;27290;5;c;Manche-Nord;3 288
La Bonneville sur Iton;387142;27190;5;c;Manche-Nord;9 175
Nonancourt;393553;27320;4;c;Manche-Nord;20 314
Pont de l'Arche;415661;27340;5;c;Manche-Nord;11 897
Romilly la Puthenaye;387175;27170;5;c;Manche-Nord;11 263
Serquigny;444315;27470;4;c;Manche-Nord;26 908
Saint-Germain-Saint-Rémy;393520;27320;5;c;Manche-Nord;484
Saint-Pierre du Vauvray;415646;27430;5;c;Manche-Nord;3 363
Tillières sur Avre;393587;27570;5;c;Manche-Nord;15
Tourville;411181;27370;5;c;Manche-Nord;2 110
Verneuil sur Avre;393595;27130;4;b;Manche-Nord;118 668
Auffay;415158;76720;4;b;Manche-Nord;205 527
Aumale;313767;76390;5;c;Manche-Nord;1 789
Barentin Embranchement;411264;76360;4;b;Manche-Nord;306 895
Blangy sur Bresle;313809;76340;5;c;Manche-Nord;37 799
Bolbec Nointot;413351;76210;5;c;Manche-Nord;10 779
Bréauté-Beuzeville;413344;76110;4;b;Manche-Nord;508 051
Clères;411819;76690;5;b;Manche-Nord;140 873
Dieppe;415018;76200;3;b;Manche-Nord;516 368
Elbeuf Saint-Aubin;411173;76500;4;b;Manche-Nord;291 090
Epouville;413732;76133;5;c;Manche-Nord;2 551
Etainhus Saint-Romain;413328;76430;5;c;Manche-Nord;65 806
Eu;317537;76260;5;c;Manche-Nord;39 702
Fécamp;413542;76400;4;b;Manche-Nord;131 931
Forges les Eaux;411389;76440;5;c;Manche-Nord;1 573
Foucart-Alvimare;413377;76640;5;c;Manche-Nord;13 468
Gisors Embranchement;381244;27140;4;b;Manche-Nord;359 479
Gournay Ferrières;381293;76220;5;c;Manche-Nord;19 096
Harfleur;413302;76700;5;c;Manche-Nord;6 583
Harfleur Halte;413708;76700;5;c;Manche-Nord;4 801
Jacques Monod la Demi Lieue;413716;76290;5;c;Manche-Nord;12 848
Le Havre-Graville;413203;76600;5;c;Manche-Nord;1 898
Le Tréport Mers les Bains;317529;76470;4;c;Manche-Nord;52 078
Longroy-Gamaches;313817;76260;5;c;Manche-Nord;4 333
Longuerue Vieux Manoir;411447;76750;5;c;Manche-Nord;14 288
Longueville sur Scie;415141;76590;5;c;Manche-Nord;23 632
Malaunay le Houlme;411256;76770;4;c;Manche-Nord;96 635
Maromme;411249;76150;4;b;Manche-Nord;128 223
Montérolier-Buchy;411454;76680;5;c;Manche-Nord;36 787
Montivilliers;413724;76290;5;c;Manche-Nord;37 968
Montville;411801;76710;5;b;Manche-Nord;149 701
Morgny;411439;76750;5;c;Manche-Nord;38 429
Motteville;411280;76970;5;c;Manche-Nord;97 636
Oissel;411207;76350;4;b;Manche-Nord;358 953
Pavilly Station;411272;76570;5;b;Manche-Nord;183 783
Rolleville;413740;76133;5;c;Manche-Nord;793
Serqueux;411470;76440;4;c;Manche-Nord;81 492
Sommery;411462;76440;5;c;Manche-Nord;4 805
Sotteville;411223;76300;5;c;Manche-Nord;17 033
Saint-Aubin sur Scie;415125;76550;5;c;Manche-Nord;17 097
Saint-Etienne du Rouvray;411215;76800;5;c;Manche-Nord;31 246
Saint-Laurent Gainneville;413310;76700;5;c;Manche-Nord;40 290
Saint-Martin du Vivier;411413;76160;5;c;Manche-Nord;7 747
Saint-Victor;415166;76890;5;c;Manche-Nord;13 954
Virville Manneville;413336;76110;5;c;Manche-Nord;5 121
Yvetot;413385;76190;3;b;Manche-Nord;914 607
Annappes;286856;59650;5;c;Manche-Nord;844
Anor;295055;59186;5;c;Manche-Nord;23 402
Anstaing;287219;59152;5;c;Manche-Nord;0
Arleux;345421;59151;5;c;Manche-Nord;46 819
Armentières;286146;59280;4;b;Manche-Nord;822 053
Arnèke;281121;59285;5;c;Manche-Nord;116 994
Ascq;286864;59650;4;c;Manche-Nord;10 195
Aubigny au Bac;345447;59265;5;c;Manche-Nord;51 490
Aulnoye Aymeries;295600;59620;4;b;Manche-Nord;638 946
Avesnelles;295725;59440;5;c;Manche-Nord;6 562
Avesnes;295733;59440;4;b;Manche-Nord;200 159
Bailleul;286179;59270;4;b;Manche-Nord;958 200
Baisieux;286872;59780;4;c;Manche-Nord;31 506
Bauvin Provin;345280;59221;5;b;Manche-Nord;181 924
Bergues;281105;59380;4;b;Manche-Nord;172 782
Berlaimont;295808;59145;5;c;Manche-Nord;26 199
Bertry;345553;59980;5;c;Manche-Nord;7 700
Beuvrages;343160;59192;5;c;Manche-Nord;2 520
Bouchain;345389;59111;5;c;Manche-Nord;36 978
Bourbourg;281279;59630;5;c;Manche-Nord;7 583
Bouvines;287235;59830;5;c;Manche-Nord;0
Brunémont;345439;59151;5;c;Manche-Nord;4 244
Busigny;296244;59137;4;c;Manche-Nord;49 667
Cambrai ;345520;59400;4;b;Manche-Nord;655 452
Cantin;345413;59169;5;c;Manche-Nord;48 985
Cassel;281139;59970;5;c;Manche-Nord;90 605
Cattenières;345587;59217;5;c;Manche-Nord;0
Caudry;345561;59540;4;b;Manche-Nord;104 306
Cobrieux;287243;59830;5;c;Manche-Nord;0
Comines France;286260;59560;4;c;Manche-Nord;4 895
Coudekerque Branche;281402;59210;5;c;Manche-Nord;5 761
Courghain;281337;59760;5;c;Manche-Nord;0
Croix l'Allumette;281055;59170;5;c;Manche-Nord;1 351
Croix Wasquehal;286716;59170;4;c;Manche-Nord;8 863
Cysoing;286781;59830;5;c;Manche-Nord;2 846
Denain;343459;59220;4;c;Manche-Nord;31 173
Deulémont;287185;59890;5;c;Manche-Nord;581
Dompierre;295774;59440;5;c;Manche-Nord;4 904
Don Sainghin;286435;59272;4;b;Manche-Nord;244 927
Ebblinghem;281469;59173;5;c;Manche-Nord;27 038
Ennevelin;287276;59710;5;c;Manche-Nord;1 438
Escaudoeuvres;345496;59161;5;c;Manche-Nord;0
Esquelbecq;281113;59470;5;c;Manche-Nord;102 000
Fourmies;295048;59610;4;b;Manche-Nord;214 151
Fretin;286641;59273;5;c;Manche-Nord;82 669
Genech;286807;59242;5;c;Manche-Nord;863
Grande-Synthe;281311;59760;5;c;Manche-Nord;818
Gravelines;281246;59820;4;c;Manche-Nord;5 420
Hachette;297523;59530;5;c;Manche-Nord;0
Haubourdin;286096;59320;4;c;Manche-Nord;66 642
Hautmont;295568;59330;4;b;Manche-Nord;76 386
Hazebrouck;286302;59190;3;b;Manche-Nord;1 697 083
Hellemmes;286062;59260;5;c;Manche-Nord;5 586
Iwuy;345397;59141;5;c;Manche-Nord;7 933
Jeumont;295014;59460;4;b;Manche-Nord;80 592
La Bassée;342436;59480;4;b;Manche-Nord;247 600
La Fontaine;286427;59136;5;c;Manche-Nord;5 440
La Madeleine Nord;286187;59110;4;c;Manche-Nord;12 891
Landas;286575;59310;5;c;Manche-Nord;45 813
Landrecies;295642;59550;4;c;Manche-Nord;17 808
Le Cateau;295220;59360;4;c;Manche-Nord;24 513
Le Poirier Université;343210;59125;5;b;Manche-Nord;152 993
Le Quesnoy;295857;59530;4;b;Manche-Nord;421 309
Les Bons-Pères;297515;59131;5;c;Manche-Nord;900
Lesquin;286849;59810;4;b;Manche-Nord;173 318
Leval;295790;59620;5;c;Manche-Nord;2 063
Lezennes;287102;59260;5;c;Manche-Nord;1 687
Lille CHR;109306;59000;5;b;Manche-Nord;225 171
Lille Porte de Douai;287250;59000;5;c;Manche-Nord;16 020
Loos lez Lille;286112;59120;4;c;Manche-Nord;29 468
Lourches;343475;59156;5;c;Manche-Nord;12 780
Louvroil;295535;59720;5;c;Manche-Nord;4 341
Marquette;287169;59252;5;c;Manche-Nord;0
Marquillies;342469;59274;5;c;Manche-Nord;21 096
Maubeuge;295006;59600;3;b;Manche-Nord;491 554
Maurois;345546;59980;5;c;Manche-Nord;754
Mont de Terre;287128;59000;5;c;Manche-Nord;2 657
Montigny en Ostrevent;345306;59182;4;b;Manche-Nord;185 613
Nieppe;287151;59850;5;c;Manche-Nord;74 551
Nomain;286609;59310;5;c;Manche-Nord;5 787
Nomain-Ouvignies;286815;59310;5;c;Manche-Nord;0
Orchies;286583;59310;4;b;Manche-Nord;936 955
Ors;295667;59360;5;c;Manche-Nord;128
Ostricourt;345249;59162;5;b;Manche-Nord;148 564
Pérenchies;286278;59840;4;b;Manche-Nord;66 132
Phalempin;286500;59133;4;b;Manche-Nord;274 848
Pont de bois;286831;59650;5;b;Manche-Nord;14 000
Pont de la Deûle;345207;59128;5;c;Manche-Nord;19 890
Prouvy-Thiant;343418;59121;5;c;Manche-Nord;447
Quesnoy sur Deûle;286245;59890;5;c;Manche-Nord;1 860
Raismes;343319;59590;4;c;Manche-Nord;35 442
Recquignies;295022;59245;5;c;Manche-Nord;8 202
Renescure;281451;59173;5;c;Manche-Nord;18 527
Ronchin;286534;59790;4;c;Manche-Nord;45 388
Rosult;286567;59230;5;c;Manche-Nord;65 938
Sains du nord;295709;59177;5;c;Manche-Nord;69 133
Salomé;342451;59496;5;c;Manche-Nord;14 855
Santes;286401;59211;4;c;Manche-Nord;53 556
Seclin;286518;59113;4;b;Manche-Nord;230 323
Sin-le-Noble;345405;59450;5;c;Manche-Nord;56 274
Somain;345314;59490;4;b;Manche-Nord;380 672
Sous le Bois;295543;59600;5;c;Manche-Nord;497
Saint-Amand les Eaux;343103;59230;4;b;Manche-Nord;673 307
Saint-André Nord;286195;59350;4;c;Manche-Nord;17 366
Steenbecque;342295;59189;5;c;Manche-Nord;572
Steenwerck;286161;59181;5;c;Manche-Nord;44 371
Sainte-Marguerite;287193;59660;5;c;Manche-Nord;0
Saint-Hilaire;297531;59292;5;c;Manche-Nord;245
Strazeele;286203;59270;5;c;Manche-Nord;48 893
Templeuve;286625;59242;4;b;Manche-Nord;552 315
Thiennes;342287;59189;5;c;Manche-Nord;1 315
Tressin;286740;59152;5;c;Manche-Nord;1 098
Trith Saint Léger;343400;59125;5;c;Manche-Nord;9 059
Wallers;343301;59135;5;c;Manche-Nord;19 908
Wambaix;345595;59400;5;c;Manche-Nord;0
Wambrechies;286229;59118;5;c;Manche-Nord;2 054
Wattignies-Templemars;286526;59680;5;c;Manche-Nord;62 555
Wavrin;286419;59136;4;b;Manche-Nord;109 794
Achiet;342048;62121;4;c;Manche-Nord;92 028
Anvin;317255;62134;5;c;Manche-Nord;20 250
Aubigny en Artois;342246;62690;5;c;Manche-Nord;58 536
Aubin Saint-Vaast;316604;62140;5;c;Manche-Nord;0
Auchy lès Hesdin;317230;62770;5;c;Manche-Nord;9 769
Audruicq;281428;62370;4;b;Manche-Nord;221 329
Avion;342584;62210;4;b;Manche-Nord;83 947
Bailleul Sire Berthoult;342592;62580;5;c;Manche-Nord;552
Beau Marais;317610;62100;5;c;Manche-Nord;332
Beaurainville;317198;62990;5;c;Manche-Nord;27 277
Beuvry lès Béthune;342402;62660;5;c;Manche-Nord;14 770
Biache Saint-Vaast;342097;62118;4;c;Manche-Nord;62 183
Billy Montigny;345140;62420;4;b;Manche-Nord;217 817
Blangy sur Ternoise;317248;62770;5;c;Manche-Nord;1 634
Boisleux;342071;62175;5;c;Manche-Nord;1 990
Boulogne Tintelleries;317016;62200;4;b;Manche-Nord;313 783
Brebières Sud;345108;62117;5;c;Manche-Nord;74 200
Brimeux;317180;62170;5;c;Manche-Nord;1 561
Bully Grenay;342105;62160;4;b;Manche-Nord;203 421
Caffiers;317321;62132;5;c;Manche-Nord;6 433
Calonne-Ricouart;342543;62470;4;c;Manche-Nord;70 542
Chocques;342220;62920;5;c;Manche-Nord;5 115
Corbehem;345116;62112;5;c;Manche-Nord;34 208
Coron de Méricourt;345132;62680;5;c;Manche-Nord;30 095
Courcelles le Comte;342063;62121;5;c;Manche-Nord;852
Cuinchy;342410;62149;5;c;Manche-Nord;44 096
Dannes-Camiers;317081;62187;5;c;Manche-Nord;9 677
Dourges;345165;62119;4;b;Manche-Nord;244 770
Etaples-le Touquet;317065;62630;4;b;Manche-Nord;380 101
Farbus;342527;62580;5;c;Manche-Nord;2 923
Fouquereuil;342204;62232;5;c;Manche-Nord;1 309
Frévin Capelle;342212;62690;5;c;Manche-Nord;6 206
Ham en Artois;342261;62190;5;c;Manche-Nord;4 591
Hénin Beaumont;345157;62110;4;b;Manche-Nord;493 344
Hesdigneul;317107;62196;5;c;Manche-Nord;29 491
Hesdin;317222;62140;4;c;Manche-Nord;61 331
Isbergues;342279;62330;4;b;Manche-Nord;203 104
Le Haut Banc;316687;62250;5;c;Manche-Nord;9 706
Leforest;345223;62790;4;b;Manche-Nord;218 283
Les Fontinettes;317305;62100;5;c;Manche-Nord;19 138
Libercourt;345256;62820;4;b;Manche-Nord;784 826
Lièvin;345041;62800;5;c;Manche-Nord;37 564
Lillers;342238;62190;4;b;Manche-Nord;254 693
Loison sous Lens;345231;62218;5;c;Manche-Nord;18 399
Loos en Gohelle;345033;65750;5;c;Manche-Nord;9 386
Maresquel;317206;62990;5;c;Manche-Nord;190
Maroeuil;342188;62161;5;c;Manche-Nord;20 844
Marquise-Rinxent;317339;62250;4;b;Manche-Nord;177 841
Mazingarbe;342121;62670;5;c;Manche-Nord;2 000
Meurchin;345272;62410;5;c;Manche-Nord;70 149
Montreuil sur Mer;317164;62170;4;c;Manche-Nord;58 551
Neufchâtel Hardelot;317099;62152;5;c;Manche-Nord;8 598
Noeux;342139;62390;4;b;Manche-Nord;104 989
Nortkerque;287292;62370;5;c;Manche-Nord;2 866
Pernes-Camblain;342550;62550;5;c;Manche-Nord;20 089
Pihen;316679;62340;5;c;Manche-Nord;2 462
Pont à Vendin;345264;62880;5;c;Manche-Nord;68 005
Pont d'Ardres;281410;62610;5;c;Manche-Nord;2 266
Pont de Briques;317115;62360;5;c;Manche-Nord;3 976
Pont de Sallaumines;345124;62430;5;c;Manche-Nord;11 026
Rang du Fliers Verton;317057;62180;4;b;Manche-Nord;235 265
Roeux;342089;62118;5;c;Manche-Nord;25 030
Ruminghem;287300;62370;5;c;Manche-Nord;22 529
Sallaumines;345215;62430;5;c;Manche-Nord;19 031
Savy Berlette;342253;62690;5;c;Manche-Nord;34 107
Saint-Omer;281444;62500;3;b;Manche-Nord;842 472
Saint-Pol sur Ternoise;342337;62130;4;b;Manche-Nord;219 926
Tincques;342303;62127;5;c;Manche-Nord;19 227
Vimy;342576;62580;5;c;Manche-Nord;15 332
Vis à Marles;342535;62156;5;c;Manche-Nord;33 911
Vitry en Artois;342113;62490;5;c;Manche-Nord;93 915
Watten-Eperlecques;281436;62910;4;c;Manche-Nord;92 831
Wimille-Wimereux;317123;62126;5;c;Manche-Nord;49 563
Aguilcourt-Variscourt;171702;2190;5;c;Manche-Nord;8 920
Amifontaine;171744;2190;5;c;Manche-Nord;12 152
Anizy-Pinon;296566;2320;4;c;Manche-Nord;89 723
Appilly;296459;60400;5;c;Manche-Nord;3 967
Barenton Bugny;297291;2000;5;c;Manche-Nord;9 539
Bazoches;171348;2220;5;c;Manche-Nord;11 197
Bohain;296269;2110;4;b;Manche-Nord;158 436
Chauny;296616;2300;4;b;Manche-Nord;457 056
Chézy sur Marne;116574;2570;5;c;Manche-Nord;13 961
Clacy Mons;296178;2000;5;c;Manche-Nord;1 505
Corcy;272286;2600;5;c;Manche-Nord;389
Coucy les Eppes;171769;2840;5;c;Manche-Nord;7 434
Crépy-Couvron;296152;2870;5;c;Manche-Nord;4 914
Crouy;271874;2880;5;c;Manche-Nord;102
