gare,agence,numTrain,Date Heure du train,typeTrain,dateHeure1erAffichageVoie,delaiAffichageVoieHorsRetard,delaiAffichageVoieRetardCompris,instantAffichageHorsRetard,instantAffichageRetardCompris,dernierRetardAffiche,nbrRetardsConfirmes,nbDevoiementsTotal,nbDevoiementsAffiches,nbDevoiementsNonAffiches
Nancy,AG Est-Européen,834100,05/05/2017 06:03:00,TER,05/05/2017 05:43:05,20,20,H-20.0,H-20,,0,,,
Paris Montparnasse,AG Ile-de-France,16750,05/05/2017 05:53:00,TER,05/05/2017 05:43:08,10,10,H-10.0,H-10,,0,,,
Saint-Pierre-des-Corps,AG Centre-Ouest,860800,05/05/2017 06:03:00,TER,05/05/2017 05:43:10,20,20,H-20.0,H-20,,0,,,
Lille Flandres,AG Manche-Nord,841852,05/05/2017 06:59:00,TER,05/05/2017 05:43:36,75,75,H-75.0,H-75,,0,,,
Lille Flandres,AG Manche-Nord,843901,05/05/2017 06:58:00,TER,05/05/2017 05:43:36,74,74,H-74.0,H-74,,0,,,
Strasbourg,AG Est-Européen,830101,05/05/2017 06:04:00,TER,05/05/2017 05:44:10,20,20,H-20.0,H-20,,0,,,
Paris Austerlitz,AG Ile-de-France,14030,05/05/2017 06:04:00,INTERCITES,05/05/2017 05:44:11,20,20,H-20.0,H-20,,0,,,
Bordeaux Saint-Jean,AG Sud-Ouest,866310,05/05/2017 06:05:00,TER,05/05/2017 05:45:16,20,20,H-20.0,H-20,,0,,,
Rennes,AG Centre-Ouest,8690,05/05/2017 05:59:00,TGV,05/05/2017 05:45:18,14,14,H-14.0,H-14,,0,,,
Dijon,AG Centre Est Rhône Alpin,6750,05/05/2017 06:22:00,TGV,05/05/2017 05:46:02,36,36,H-36.0,H-36,,0,,,
Paris Gare du Nord,AG Ile-de-France,848502,05/05/2017 05:56:00,TER,05/05/2017 05:46:12,10,10,H-10.0,H-10,,0,,,
Saint-Pierre-des-Corps,AG Centre-Ouest,16802,05/05/2017 06:08:00,TER,05/05/2017 05:48:05,20,20,H-20.0,H-20,,0,,,
Bordeaux Saint-Jean,AG Sud-Ouest,866808,05/05/2017 06:08:00,TER,05/05/2017 05:48:08,20,20,H-20.0,H-20,,0,,,
Lyon Part Dieu,AG Centre Est Rhône Alpin,886701,05/05/2017 06:18:00,TER,05/05/2017 05:48:31,29,29,H-29.0,H-29,,0,,,
Strasbourg,AG Est-Européen,1662202,05/05/2017 06:09:00,TER,05/05/2017 05:49:04,20,20,H-20.0,H-20,,0,,,
Grenoble,AG Centre Est Rhône Alpin,885401,05/05/2017 06:09:00,TER,05/05/2017 05:49:08,20,20,H-20.0,H-20,,0,,,
Dijon,AG Centre Est Rhône Alpin,894200,05/05/2017 06:10:00,TER,05/05/2017 05:50:20,20,20,H-20.0,H-20,,0,,,
Nantes,AG Centre-Ouest,858100,05/05/2017 06:12:00,TER,05/05/2017 05:52:22,20,20,H-20.0,H-20,,0,,,
Nice,AG Méditerranée,86000,05/05/2017 06:14:00,TER,05/05/2017 05:54:43,19,19,H-19.0,H-19,,0,,,
Chambéry - Challes-les-Eaux,AG Centre Est Rhône Alpin,6960,05/05/2017 06:13:00,TGV,05/05/2017 05:54:54,18,18,H-18.0,H-18,,0,,,
Amiens,AG Manche-Nord,848836,05/05/2017 06:14:00,TER,05/05/2017 05:54:56,19,19,H-19.0,H-19,,0,,,
Metz Ville,AG Est-Européen,88701,05/05/2017 06:14:00,TER,05/05/2017 05:55:08,19,19,H-19.0,H-19,,0,,,
Montpellier Saint-Roch,AG Méditerranée,876205,05/05/2017 06:13:00,TER,05/05/2017 05:55:12,18,18,H-18.0,H-18,,0,,,
Saint-Pierre-des-Corps,AG Centre-Ouest,8300,05/05/2017 06:16:00,TGV,05/05/2017 05:56:02,20,20,H-20.0,H-20,,0,,,
