gare,agence,numTrain,dateTrain,typeTrain,dateHeure1erAffichageVoie,delaiAffichageVoieHorsRetard,delaiAffichageVoieRetardCompris,instantAffichageHorsRetard,instantAffichageRetardCompris,dernierRetardAffiche,nbrRetardsConfirmes,nbDevoiementsTotal,nbDevoiementsAffiches,nbDevoiementsNonAffiches
REI,1494468228,6,ANNEMASSE,884201,TER,40,,A,1494479760,,
REI,1494468228,7,ANNEMASSE,39505,BUS,10,,,1494482820,,
REI,1494468228,8,ANNECY,884254,TER,40,,A,1494484980,,
REI,1494468228,9,BELLEGARDE,884654,TER,40,,B,1494486000,,
REI,1494468228,10,ST GERVAIS,884605,TER,40,,A,1494486060,,
REI,1494468228,11,BELLEGARDE,884662,TER,40,,B,1494493200,,
REI,1494468228,12,ST GERVAIS,884609,TER,40,,A,1494493260,,
REI,1494468228,13,ANNEMASSE,884205,TER,40,,A,1494494160,,
REI,1494468228,14,ANNECY,884258,TER,40,,A,1494499380,,
REI,1494468228,15,BELLEGARDE,884666,TER,40,,B,1494500400,,
REI,1494468228,16,ST GERVAIS,884617,TER,40,,A,1494500460,,
REI,1494468228,17,BELLEGARDE,884668,TER,40,,B,1494507600,,
REI,1494468228,18,ST GERVAIS,884621,TER,40,,A,1494507660,,
REI,1494468228,19,ANNEMASSE,884209,TER,40,,A,1494508560,,
REI,1494468228,20,ANNECY,884262,TER,40,,A,1494513780,,
RMS,1494468201,1,EPERNAY,839900,TER,40,I,,1494471120,,
RMS,1494468201,2,NANCY VILLE,839402,TER,40,I,,1494474720,,
RMS,1494468201,3,FISMES,839200,TER,40,I,,1494476100,,
RMS,1494468201,4,SEDAN,838431,TER,40,I,,1494477060,,
RMS,1494468201,5,CHALONS EN C,839663,TER,40,I,,1494477360,,
RMS,1494468201,6,LAON,839600,TER,40,I,,1494477600,,
RMS,1494468201,7,PARIS EST,2706,TGV,30,I,,1494477900,,
RMS,1494468201,8,CHARLEVILLE,838331,TER,40,I,,1494478260,,
RMS,1494468201,9,CHALONS EN C,839904,TER,40,I,,1494478320,,
RMS,1494468201,10,CHAMP AR TGV,840800,TER,40,I,,1494478500,,
RMS,1494468201,11,LAON,839620,TER,40,I,,1494479400,,
RMS,1494468201,12,EPERNAY,839906,TER,40,I,,1494480120,,
RMS,1494468201,13,DIJON VILLE,839803,TER,40,I,,1494480480,,
RMS,1494468201,14,FISMES,839202,TER,40,I,,1494480600,,
RMS,1494468201,15,CHAMP AR TGV,840600,TER,40,I,,1494480720,,
RMS,1494468201,16,PARIS EST,2712,TGV,30,I,,1494481500,,
RMS,1494468201,17,CHARLEVILLE,838303,TER,40,I,,1494481860,,
RMS,1494468201,18,EPERNAY,839952,TER,40,I,,1494481920,,
RMS,1494468201,19,CHAMP AR TGV,840526,TER,40,I,,1494482400,,
RMS,1494468201,20,CHALONS EN C,839665,TER,40,I,,1494483000,,
RMT,1494468667,1,NANCY,835800,TER,40,,A,1494472260,,
RMT,1494468667,2,PARIS EST,2574,TGV,30,I,,1494475200,,
RMT,1494468667,3,NANCY,835802,TER,40,I,,1494476100,,
RMT,1494468667,4,NANCY,835804,TER,40,I,,1494479460,,
RMT,1494468667,5,LA BRESSE,55235,BUS,10,I,,1494482400,,
RMT,1494468667,6,BUSSANG,55237,BUS,10,I,,1494482400,,
RMT,1494468667,7,NANCY,835806,TER,40,I,,1494483060,,
RMT,1494468667,8,NANCY,835808,TER,40,I,,1494486660,,
RMT,1494468667,9,BUSSANG,55227,BUS,10,I,,1494489600,,
RMT,1494468667,10,LA BRESSE,55289,BUS,10,I,,1494489600,,
RMT,1494468667,11,NANCY,835810,TER,40,I,,1494490260,,
RMT,1494468667,12,NANCY,835814,TER,40,I,,1494497460,,
RMT,1494468667,13,LA BRESSE,55243,BUS,10,I,,1494500400,,
RMT,1494468667,14,BUSSANG,55245,BUS,10,I,,1494500400,,
RMT,1494468667,15,NANCY,835816,TER,40,I,,1494501060,,
RMT,1494468667,16,NANCY,835818,TER,40,I,,1494504660,,
RMT,1494468667,17,NANCY,835820,TER,40,I,,1494508260,,
RMT,1494468667,18,LA BRESSE,55247,BUS,10,I,,1494508680,,
RMT,1494468667,19,BUSSANG,55261,BUS,10,I,,1494508680,,
RMT,1494468667,20,PARIS EST,2578,TGV,30,I,,1494511200,,
RES,1494468170,1,PARIS M.,8052,TGV,30,I,,1494473520,,
RES,1494468170,2,CAEN,852851,TER,40,I,,1494474600,,
RES,1494468170,3,MONTREUIL,854203,TER,40,I,,1494475200,,
RES,1494468170,4,PARIS M.,8690,TGV,30,I,,1494475500,,
RES,1494468170,5,LILLE EUROPE,5254,TGV,30,I,,1494475800,,
RES,1494468170,6,BREST,855801,TER,40,I,,1494475920,,
RES,1494468170,7,ST BRIEUC,855603,TER,40,I,,1494476400,,
RES,1494468170,8,QUIMPER,856601,TER,40,I,,1494476760,,
RES,1494468170,9,ST MALO,854305,TER,40,I,,1494477000,,
RES,1494468170,10,PARIS M.,8706,TGV,30,I,,1494477300,,
RES,1494468170,11,LAVAL,857652,TER,40,I,,1494477600,,
RES,1494468170,12,LORIENT,856603,TER,40,I,,1494477660,,
RES,1494468170,13,VITRE,855200,TER,40,I,,1494477900,,
RES,1494468170,14,BREST,855803,TER,40,I,,1494478800,,
RES,1494468170,15,PARIS M.,8080,TGV,30,I,,1494479100,,
RES,1494468170,16,PARIS M.,8610,TGV,30,I,,1494479100,,
RES,1494468170,17,MONTREUIL,854207,TER,40,I,,1494479100,,
RES,1494468170,18,NANTES,858397,TER,40,I,,1494479400,,
RES,1494468170,19,MARSEILLE,5336,TGV,30,I,,1494479400,,
